"COD_RAMA";"NOM_RAMA";"COD_RAMA_N2";"NOM_RAMA_N2";"COD_RAMA_N3";"NOM_RAMA_N3";"COD_RAMA_N4";"NOM_RAMA_N4";"COD_RAMA_N5";"NOM_RAMA_N5"
"1";"Artes y humanidades ";"01";"Educación ";"011";"Educación ";"0111";"Ciencias de la educación ";"011101";"Pedagogía "
"1";"Artes y humanidades ";"01";"Educación ";"011";"Educación ";"0111";"Ciencias de la educación ";"011102";"Didácticas específicas "
"1";"Artes y humanidades ";"01";"Educación ";"011";"Educación ";"0112";"Formación de docentes de enseñanza infantil ";"011201";"Educación infantil"
"1";"Artes y humanidades ";"01";"Educación ";"011";"Educación ";"0113";"Formación de docentes de enseñanza primaria ";"011301";"Educación primaria "
"1";"Artes y humanidades ";"01";"Educación ";"011";"Educación ";"0114";"Formación de docentes de educación secundaria y formación profesional ";"011401";"Otros maestros "
"1";"Artes y humanidades ";"01";"Educación ";"011";"Educación ";"0114";"Formación de docentes de educación secundaria y formación profesional ";"011402";"Profesorado de educación secundaria "
"1";"Artes y humanidades ";"01";"Educación ";"011";"Educación ";"0114";"Formación de docentes de educación secundaria y formación profesional ";"011403";"Enseñanza de lenguas españolas a extranjeros "
"1";"Artes y humanidades ";"01";"Educación ";"011";"Educación ";"0119";"Educación (Otros estudios) ";"011901";"Educación social"
"1";"Artes y humanidades ";"01";"Educación ";"011";"Educación ";"0119";"Educación (Otros estudios) ";"011988";"Otras educación "
"1";"Artes y humanidades ";"02";"Artes y humanidades ";"021";"Artes ";"0211";"Técnicas audiovisuales y medios de comunicación ";"021101";"Audiovisual, imagen y multimedia "
"1";"Artes y humanidades ";"02";"Artes y humanidades ";"021";"Artes ";"0212";"Diseño de moda e interiorismo ";"021201";"Diseño "
"1";"Artes y humanidades ";"02";"Artes y humanidades ";"021";"Artes ";"0213";"Bellas artes ";"021301";"Bellas artes "
"1";"Artes y humanidades ";"02";"Artes y humanidades ";"021";"Artes ";"0213";"Bellas artes ";"021302";"Historia del arte "
"1";"Artes y humanidades ";"02";"Artes y humanidades ";"021";"Artes ";"0214";"Conservación, restauración y artesanía ";"021401";"Conservación y restauración "
"1";"Artes y humanidades ";"02";"Artes y humanidades ";"021";"Artes ";"0215";"Música y artes del espectáculo ";"021501";"Artes escénicas"
"1";"Artes y humanidades ";"02";"Artes y humanidades ";"021";"Artes ";"0215";"Música y artes del espectáculo ";"021502";"Música "
"1";"Artes y humanidades ";"02";"Artes y humanidades ";"021";"Artes ";"0219";"Artes (Otros estudios) ";"021988";"Otras artes "
"1";"Artes y humanidades ";"02";"Artes y humanidades ";"022";"Humanidades ";"0221";"Religión y teología ";"022101";"Religión y teología "
"1";"Artes y humanidades ";"02";"Artes y humanidades ";"022";"Humanidades ";"0222";"Historia y arqueología ";"022201";"Arqueología "
"1";"Artes y humanidades ";"02";"Artes y humanidades ";"022";"Humanidades ";"0222";"Historia y arqueología ";"022202";"Historia "
"1";"Artes y humanidades ";"02";"Artes y humanidades ";"022";"Humanidades ";"0222";"Historia y arqueología ";"022203";"Patrimonio Histórico-Artístico "
"1";"Artes y humanidades ";"02";"Artes y humanidades ";"022";"Humanidades ";"0223";"Filosofía y ética ";"022301";"Filosofía"
"1";"Artes y humanidades ";"02";"Artes y humanidades ";"022";"Humanidades ";"0223";"Filosofía y ética ";"022302";"Bioética "
"1";"Artes y humanidades ";"02";"Artes y humanidades ";"022";"Humanidades ";"0229";"Humanidades (Otros estudios) ";"022988";"Otras humanidades"
"1";"Artes y humanidades ";"02";"Artes y humanidades ";"022";"Humanidades ";"0229";"Humanidades (Otros estudios) ";"022901";"Humanidades "
"1";"Artes y humanidades ";"02";"Artes y humanidades ";"023";"Lenguas ";"0231";"Aprendizaje de segundas lenguas ";"023101";"Lengua inglesa "
"1";"Artes y humanidades ";"02";"Artes y humanidades ";"023";"Lenguas ";"0231";"Aprendizaje de segundas lenguas ";"023102";"Lenguas clásicas "
"1";"Artes y humanidades ";"02";"Artes y humanidades ";"023";"Lenguas ";"0231";"Aprendizaje de segundas lenguas ";"023103";"Otras lenguas extranjeras "
"1";"Artes y humanidades ";"02";"Artes y humanidades ";"023";"Lenguas ";"0231";"Aprendizaje de segundas lenguas ";"023104";"Traducción e interpretación "
"1";"Artes y humanidades ";"02";"Artes y humanidades ";"023";"Lenguas ";"0232";"Literatura y lingüística ";"023201";"Lenguas y dialectos españoles "
"1";"Artes y humanidades ";"02";"Artes y humanidades ";"023";"Lenguas ";"0232";"Literatura y lingüística ";"023202";"Literatura "
"1";"Artes y humanidades ";"02";"Artes y humanidades ";"023";"Lenguas ";"0232";"Literatura y lingüística ";"023203";"Lingüística "
"1";"Artes y humanidades ";"02";"Artes y humanidades ";"023";"Lenguas ";"0239";"Lenguas (Otros estudios) ";"023988";"Otras lenguas "
"1";"Artes y humanidades ";"02";"Artes y humanidades ";"023";"Lenguas ";"0239";"Lenguas (Otros estudios) ";"023901";"Lenguas modernas y aplicadas "
"2";"Ciencias Sociales y Jurídicas";"03";"Ciencias sociales, periodismo y documentación ";"031";"Ciencias sociales y del comportamiento ";"0311";"Economía ";"031101";" Economía "
"2";"Ciencias Sociales y Jurídicas";"03";"Ciencias sociales, periodismo y documentación ";"031";"Ciencias sociales y del comportamiento ";"0312";"Ciencias políticas ";"031201";"Política y gestión pública "
"2";"Ciencias Sociales y Jurídicas";"03";"Ciencias sociales, periodismo y documentación ";"031";"Ciencias sociales y del comportamiento ";"0312";"Ciencias políticas ";"031202";"Relaciones internacionales"
"2";"Ciencias Sociales y Jurídicas";"03";"Ciencias sociales, periodismo y documentación ";"031";"Ciencias sociales y del comportamiento ";"0312";"Ciencias políticas ";"031203";"Cooperación al Desarrollo "
"2";"Ciencias Sociales y Jurídicas";"03";"Ciencias sociales, periodismo y documentación ";"031";"Ciencias sociales y del comportamiento ";"0313";"Psicología ";"031301";"Psicología "
