TIPO_UNIVERSIDAD;MODALIDAD;UNIVERSIDAD;RAMA_ENSEÑANZA;EGR_C16_17;EGR_C15_16;EGR_C14_15;EGR_C13_14;EGR_C12_13;EGR_C11_12;EGR_C10_11;EGR_C09_10
Universidades Privadas;Presencial;Abat Oliba CEU;Ciencias Sociales y Jurídicas;450;370;485;333;262;356;422;246
Universidades Privadas;Presencial;Abat Oliba CEU;Ingeniería y Arquitectura;0;0;0;0;0;0;0;0
Universidades Privadas;Presencial;Abat Oliba CEU;Artes y Humanidades;0;0;0;0;0;0;0;0
Universidades Privadas;Presencial;Abat Oliba CEU;Ciencias de la Salud;84;10;0;0;4;0;0;0
Universidades Privadas;Presencial;Abat Oliba CEU;Ciencias;0;0;0;0;0;0;0;0
Universidades Privadas;Presencial;Alfonso X El Sabio;Ciencias Sociales y Jurídicas;401;477;377;127;209;213;227;171
Universidades Privadas;Presencial;Alfonso X El Sabio;Ingeniería y Arquitectura;257;521;505;772;822;972;1139;755
Universidades Privadas;Presencial;Alfonso X El Sabio;Artes y Humanidades;54;62;47;7;17;13;15;22
Universidades Privadas;Presencial;Alfonso X El Sabio;Ciencias de la Salud;859;1205;1245;1332;1186;1180;1004;891
Universidades Privadas;Presencial;Alfonso X El Sabio;Ciencias;0;1;27;20;44;173;150;63
Universidades Privadas;Presencial;Antonio de Nebrija;Ciencias Sociales y Jurídicas;1567;917;817;727;678;590;660;351
Universidades Privadas;Presencial;Antonio de Nebrija;Ingeniería y Arquitectura;98;71;198;121;75;200;610;468
Universidades Privadas;Presencial;Antonio de Nebrija;Artes y Humanidades;57;71;112;91;63;66;40;10
Universidades Privadas;Presencial;Antonio de Nebrija;Ciencias de la Salud;207;192;124;108;0;0;0;0
Universidades Privadas;Presencial;Antonio de Nebrija;Ciencias;0;0;0;0;0;0;0;0
Universidades Privadas;Presencial;Camilo José Cela;Ciencias Sociales y Jurídicas;3908;4023;3368;4130;4235;5056;2120;1152
Universidades Privadas;Presencial;Camilo José Cela;Ingeniería y Arquitectura;65;115;90;234;334;970;4321;1101
Universidades Privadas;Presencial;Camilo José Cela;Artes y Humanidades;182;189;180;191;106;25;0;0
Universidades Privadas;Presencial;Camilo José Cela;Ciencias de la Salud;307;278;256;231;97;44;61;17
Universidades Privadas;Presencial;Camilo José Cela;Ciencias;0;0;0;0;0;0;0;0
Universidades Privadas;Presencial;Cardenal Herrera-CEU;Ciencias Sociales y Jurídicas;972;747;797;892;298;62;320;240
Universidades Privadas;Presencial;Cardenal Herrera-CEU;Ingeniería y Arquitectura;105;123;129;181;66;49;67;61
Universidades Privadas;Presencial;Cardenal Herrera-CEU;Artes y Humanidades;6;0;0;1;2;15;32;0
Universidades Privadas;Presencial;Cardenal Herrera-CEU;Ciencias de la Salud;860;668;679;615;271;127;255;359
Universidades Privadas;Presencial;Cardenal Herrera-CEU;Ciencias;0;0;0;0;0;0;0;0
Universidades Privadas;Presencial;Católica de Valencia San Vicente Mártir;Ciencias Sociales y Jurídicas;1541;1750;1777;1944;1645;2450;2016;1592
Universidades Privadas;Presencial;Católica de Valencia San Vicente Mártir;Ingeniería y Arquitectura;14;14;0;0;15;23;5;0
Universidades Privadas;Presencial;Católica de Valencia San Vicente Mártir;Artes y Humanidades;73;61;46;19;2;15;24;38
Universidades Privadas;Presencial;Católica de Valencia San Vicente Mártir;Ciencias de la Salud;1284;1341;1236;1154;889;1079;658;549
Universidades Privadas;Presencial;Católica de Valencia San Vicente Mártir;Ciencias;46;43;33;53;61;69;40;105
Universidades Privadas;Presencial;Católica San Antonio;Ciencias Sociales y Jurídicas;1937;1888;1744;1529;1348;679;962;449
Universidades Privadas;Presencial;Católica San Antonio;Ingeniería y Arquitectura;172;240;341;555;444;676;708;412
Universidades Privadas;Presencial;Católica San Antonio;Artes y Humanidades;29;1;26;17;30;6;16;26
Universidades Privadas;Presencial;Católica San Antonio;Ciencias de la Salud;1358;1013;893;875;682;445;249;317
Universidades Privadas;Presencial;Católica San Antonio;Ciencias;16;10;18;11;9;14;36;67
Universidades Privadas;Presencial;Católica Santa Teresa de Jesús de Ávila;Ciencias Sociales y Jurídicas;409;334;278;294;198;156;152;52
Universidades Privadas;Presencial;Católica Santa Teresa de Jesús de Ávila;Ingeniería y Arquitectura;217;185;293;327;410;335;92;62
Universidades Privadas;Presencial;Católica Santa Teresa de Jesús de Ávila;Artes y Humanidades;5;6;5;5;7;0;0;0
Universidades Privadas;Presencial;Católica Santa Teresa de Jesús de Ávila;Ciencias de la Salud;62;69;51;75;0;0;0;0
Universidades Privadas;Presencial;Católica Santa Teresa de Jesús de Ávila;Ciencias;13;17;12;11;24;14;3;7
Universidades Privadas;Presencial;Deusto;Ciencias Sociales y Jurídicas;1622;1708;1691;1672;2048;1433;1564;1552
Universidades Privadas;Presencial;Deusto;Ingeniería y Arquitectura;201;234;220;234;358;304;498;526
Universidades Privadas;Presencial;Deusto;Artes y Humanidades;142;164;147;142;158;223;167;170
Universidades Privadas;Presencial;Deusto;Ciencias de la Salud;224;213;193;153;135;42;48;54
Universidades Privadas;Presencial;Deusto;Ciencias;0;0;0;0;0;0;0;0
Universidades Privadas;Presencial;Europea de Canarias;Ciencias Sociales y Jurídicas;44;28;15;0;0;0;0;0
